Index,Node,index_in_graph,node_id,meaning,category
0,1,,1,Chapter I Certain infectious and parasitic diseases,Chapter I Certain infectious and parasitic diseases
1,2,,2,Chapter II Neoplasms,Chapter II Neoplasms
2,3,,3,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism
3,4,,4,"Chapter IV Endocrine, nutritional and metabolic diseases","Chapter IV Endocrine, nutritional and metabolic diseases"
4,5,,5,Chapter V Mental and behavioural disorders,Chapter V Mental and behavioural disorders
5,6,,6,Chapter VI Diseases of the nervous system,Chapter VI Diseases of the nervous system
6,7,,7,Chapter VII Diseases of the eye and adnexa,Chapter VII Diseases of the eye and adnexa
7,8,,8,Chapter VIII Diseases of the ear and mastoid process,Chapter VIII Diseases of the ear and mastoid process
8,9,,9,Chapter IX Diseases of the circulatory system,Chapter IX Diseases of the circulatory system
9,10,,10,Chapter X Diseases of the respiratory system,Chapter X Diseases of the respiratory system
10,11,,11,Chapter XI Diseases of the digestive system,Chapter XI Diseases of the digestive system
11,12,,12,Chapter XII Diseases of the skin and subcutaneous tissue,Chapter XII Diseases of the skin and subcutaneous tissue
12,13,,13,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Chapter XIII Diseases of the musculoskeletal system and connective tissue
13,14,,14,Chapter XIV Diseases of the genitourinary system,Chapter XIV Diseases of the genitourinary system
14,15,,15,"Chapter XV Pregnancy, childbirth and the puerperium","Chapter XV Pregnancy, childbirth and the puerperium"
15,16,,16,Chapter XVI Certain conditions originating in the perinatal period,Chapter XVI Certain conditions originating in the perinatal period
16,17,,17,"Chapter XVII Congenital malformations, deformations and chromosomal abnormalities","Chapter XVII Congenital malformations, deformations and chromosomal abnormalities"
17,18,,18,"Chapter XVIII Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified","Chapter XVIII Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"
18,19,,19,"Chapter XIX Injury, poisoning and certain other consequences of external causes","Chapter XIX Injury, poisoning and certain other consequences of external causes"
19,20,,20,Chapter XX External causes of morbidity and mortality,Chapter XX External causes of morbidity and mortality
20,21,,21,Chapter XXI Factors influencing health status and contact with health services,Chapter XXI Factors influencing health status and contact with health services
21,22,,22,Chapter XXII Codes for special purposes,Chapter XXII Codes for special purposes
22,23,,23,A00-A09 Intestinal infectious diseases,Chapter I Certain infectious and parasitic diseases
23,24,,24,A15-A19 Tuberculosis,Chapter I Certain infectious and parasitic diseases
24,25,,25,A20-A28 Certain zoonotic bacterial diseases,Chapter I Certain infectious and parasitic diseases
25,26,,26,A30-A49 Other bacterial diseases,Chapter I Certain infectious and parasitic diseases
26,27,,27,A50-A64 Infections with a predominantly sexual mode of transmission,Chapter I Certain infectious and parasitic diseases
27,28,,28,A65-A69 Other spirochaetal diseases,Chapter I Certain infectious and parasitic diseases
28,29,,29,A70-A74 Other diseases caused by chlamydiae,Chapter I Certain infectious and parasitic diseases
29,30,,30,A75-A79 Rickettsioses,Chapter I Certain infectious and parasitic diseases
30,31,,31,A80-A89 Viral infections of the central nervous system,Chapter I Certain infectious and parasitic diseases
31,32,,32,A92-A99 Arthropod-borne viral fevers and viral haemorrhagic fevers,Chapter I Certain infectious and parasitic diseases
32,33,,33,B00-B09 Viral infections characterized by skin and mucous membrane lesions,Chapter I Certain infectious and parasitic diseases
33,34,,34,B15-B19 Viral hepatitis,Chapter I Certain infectious and parasitic diseases
34,35,,35,B20-B24 Human immunodeficiency virus [HIV] disease,Chapter I Certain infectious and parasitic diseases
35,36,,36,B25-B34 Other viral diseases,Chapter I Certain infectious and parasitic diseases
36,37,,37,B35-B49 Mycoses,Chapter I Certain infectious and parasitic diseases
37,38,,38,B50-B64 Protozoal diseases,Chapter I Certain infectious and parasitic diseases
38,39,,39,B65-B83 Helminthiases,Chapter I Certain infectious and parasitic diseases
39,40,,40,"B85-B89 Pediculosis, acariasis and other infestations",Chapter I Certain infectious and parasitic diseases
40,41,,41,B90-B94 Sequelae of infectious and parasitic diseases,Chapter I Certain infectious and parasitic diseases
41,42,,42,"B95-B98 Bacterial, viral and other infectious agents",Chapter I Certain infectious and parasitic diseases
42,43,,43,B99-B99 Other infectious diseases,Chapter I Certain infectious and parasitic diseases
43,44,,44,"C00-C14 Malignant neoplasms of lip, oral cavity and pharynx",Chapter II Neoplasms
44,45,,45,C15-C26 Malignant neoplasms of digestive organs,Chapter II Neoplasms
45,46,,46,C30-C39 Malignant neoplasms of respiratory and intrathoracic organs,Chapter II Neoplasms
46,47,,47,C40-C41 Malignant neoplasms of bone and articular cartilage,Chapter II Neoplasms
47,48,,48,C43-C44 Melanoma and other malignant neoplasms of skin,Chapter II Neoplasms
48,49,,49,C45-C49 Malignant neoplasms of mesothelial and soft tissue,Chapter II Neoplasms
49,50,,50,C50-C50 Malignant neoplasm of breast,Chapter II Neoplasms
50,51,,51,C51-C58 Malignant neoplasms of female genital organs,Chapter II Neoplasms
